TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Other Theft,2010,10,25,15,47,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
Offence Against a Person,2016,11,4,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2014,7,16,23,0,49XX QUEBEC ST,Riley Park,492515.21,5454123.84,49.23984486,-123.1028262
Break and Enter Commercial,2006,5,10,7,18,1XX KEEFER PL,Central Business District,492123.79,5458571.85,49.27985066,-123.1082911
Break and Enter Residential/Other,2005,10,8,0,0,2XX E WOODSTOCK AVE,Riley Park,492647.61,5453431.63,49.23361987,-123.1009946
Other Theft,2015,6,16,17,35,3XX ABBOTT ST,Central Business District,492213.87,5458862.65,49.2824676,-123.1070582
Offence Against a Person,2011,12,6,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2005,7,1,8,24,BEATTY ST / SMITHE ST,Central Business District,491593.45,5458204.38,49.27653814,-123.115575
Theft from Vehicle,2006,5,4,10,0,5XX TERMINAL AVE,Strathcona,493215.57,5457647.43,49.27154843,-123.0932644
Theft from Vehicle,2005,8,3,18,30,5XX E 6TH AVE,Mount Pleasant,493242.43,5456943.41,49.26521594,-123.0928832
Theft from Vehicle,2006,10,31,16,0,CHARLES ST / VERNON DR,Strathcona,494276.42,5457825.47,49.27316079,-123.0786836
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,29,8,28,20XX BLOCK DUNDAS ST,Grandview-Woodland,495402,5459119,49.28480581,-123.0632248
Other Theft,2012,8,10,15,6,11XX PACIFIC BLVD,Central Business District,491329.92,5457967.6,49.27440459,-123.119193
Vehicle Collision or Pedestrian Struck (with Injury),2010,8,8,15,39,10XX BLOCK GILFORD ST,West End,489766,5459708,49.29003556,-123.1407376
Break and Enter Residential/Other,2006,6,21,9,30,11XX PACIFIC ST,West End,490140.94,5458486.19,49.27905137,-123.1355513
Theft from Vehicle,2006,2,15,19,0,7XX THURLOW ST,West End,490966.96,5459141.78,49.28496126,-123.1242093
Theft from Vehicle,2015,11,12,0,0,16XX GRAVELEY ST,Grandview-Woodland,494852.23,5457525.23,49.27046519,-123.0707639
Other Theft,2008,3,22,18,10,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
Theft from Vehicle,2008,9,7,10,30,9XX CANADA PL,Central Business District,491613.02,5459490.77,49.28810969,-123.115333
Break and Enter Residential/Other,2005,12,7,21,30,54XX RHODES ST,Renfrew-Collingwood,496347.52,5453642.05,49.23554591,-123.0501735
